coauthor,_freq
A Lans Bovenberg,26
A Lashkaripour,1
A Le Maux,1
A Legoyt,1
A Lem,1
A Lemer,1
A Lemma,1
A Leonardson,1
A Leslie Robb,1
A Levchenko,1
A Levenson,1
A Lever,1
A Levin,3
A LeÃ³n,1
A Li,1
A Linssen,1
A Ljungqvist,2
A Llena-Nozal,1
A Lorenz,1
A Lorien,2
A Lourdes Portales,1
A Lovett,1
A Lucas,1
A Ludwig,1
A Lunde,3
A Lynch,1
A LÃ³pez-Pena,2
A MINGAT,1
A Mackridge,1
A Maddaloni,2
A Mahabal,1
A Mahal,1
A Maira,1
A Majumdar,1
A Malakhov,3
A Malhotra,2
A Malkawi,1
A Malsbender,1
A MalÃ©zieux,1
A Mandel,3
A Mani,1
A Manning,1
A Manquilef,1
A Manresa,1
A Marcet,1
A Marckwardt,1
A Margolies,1
A Mark Fendrick,1
A Martin,2
A MartÃ­n Zurro,1
A Mas,1
A Mas-Colell,1
A Mason,4
A Masson,2
A Masten,1
A Matheeuwsen,1
A Mathur,1
A Mazumdar Sen,1
A McBrearty,1
A McCalla,1
A McCloskey,1
A McGhee Smith,1
A McGuire,3
A McKnight,1
A Mehra,1
A Meier,1
A Meinhardt,1
A Meister,1
A Melchior,1
A Melino,1
A Menkir,1
A Merlo,1
A Meyendorff,1
A Mian,1
A Michael Froomkin,6
A Millner,1
A Miriam,1
A Mitchell Polinsky,19
A Mitra,3
A Mobarak,1
A Mody,1
A Moller Dano,1
A Moralejo,3
A Morales,3
A Morgan,1
A Morjaria,1
A Moser,1
A Mushfiq Mobarak,15
A Mushfiq Mubarak,1
A Myrick Freeman III,3
A Myrick Freeman Iii,1
A N Ghosh,1
A NELLEN,1
A Nagata,1
A Narayan,1
A Neely,3
A NekroÅ¡ius,1
A Nelen,1
A Nelson,1
A Nentjes,1
A Newman,4
A Nichifor,3
A Nicolo,1
A Nordhaus,1
A Nur Zincir-Heywood,2
A Nuvolari,1
A NuÃ±ez Mencias,1
A NÃºÃ±ez,1
A Ockenfels,6
A Oduro,1
A Ogunko,1
A Okada,2
A Okonek,1
A Olukoga,1
A Opatkiewicz,1
A Ortner,1
A Oscoz,1
A Oswald,5
A Ouali,1
A Ozdaglar,1
A Ozler Alesina,1
A PARAKHONYAK,1
A Pagan,1
A Paige Fischer,1
A Pakes,1
A Palmonari,1
A Papga,1
A Parikh,3
A Park,1
A Parsimonious Macroeconomic,2
A Paskeviciute,1
A Patton,2
A Paul,3
A Paul David,1
A Peichl,4
A Penati,2
A PerellÃ³,1
A Perez,1
A Perry,1
A Peter,1
A Petrin,1
A Pfaff,15
A Pfaffb,2
A Pinfield,1
A Plekhanov,1
A Poggi,1
A Poncet,1
A Pooja Shukla,1
A Porta,1
A Portes,1
A Postlewaite,1
A Prasanna De Silva,1
A Prat,1
A Primer,1
A Pron,2
A Provins,1
A Prummer,1
A Przeworski,11
A Przeworsky,1
A Quisumbing,4
A ROBINSON JAMES,1
A Rabushka,1
A Raffo,1
A Raghavan,1
A Rahman,1
A Rais Shaghaghi,1
A Rajaratnam,1
A Rajkumar,1
A Rajput,2
A Ramos,1
A Rana,1
A Rapaczynski,2
A Rapoport,1
A Rattan,1
A Rawls Sen,1
A Raychaudhuri,1
A Razin,1
A Rebucci,1
A Rejoinder,1
A Riedl,1
A Riesenfelder,1
A Ritter,1
A Rodger,1
A Rodriguez-Clare,3
A RodrÄ±guez-Clare,1
A Roell,1
A Rogalev,1
A Rola,1
A Roman,1
A Rompalo,1
A Ronald Gallant,47
A Rosen,1
A Ross,1
A Roth,7
A Roventini,2
A Rowbottom,1
A Roy,1
A Roy Thurik,8
A Rubinstein,2
A Rudra,4
A Rudra1 Dr R Halder,1
A Ruina,2
A Ruiz,1
A Ruiz-Gazen,7
A RupÃ©rez-Micola,1
A Russell Stevenson,1
A Rustichini,1
A SANTIAGO,2
A SCHLEÄ°FER,1
A SChleifer,1
A SEN,2
A SUWA-EISENMANN,1
A Saban,2
A Sachs,1
A Sacker,1
A Sadrieh,3
A Saitz,1
A SakaviÄius,1
A Salam,3
A Salazar,1
A Saleh,1
A Salomons,1
A Salzwedel,1
A Samek,2
A Sanchez,4
A Sandroni,1
A Sankarasubramanian,1
A Sankovski,1
A Santacreu,1
A Santomero,2
A Sapir,2
A Sarris,1
A Sasmal,1
A Saunders,1
A Saxenian,1
A Scheinkman,1
A Schleifer,6
A Schmutzler,2
A Schoar,1
A Schoenfeld Walker,1
A Schoenfelde,2
A Schotter,6
A Schuurman,1
A Scott,1
A Scoulding,1
A Seitenova,3
A Sen,250
A Sen3 Dr S Kundu,1
A Serratos,1
A Set,1
A Seth,2
A Seyoum,1
A Seyoum Taffesse,1
A Shaikh,1
A Shanghavi,1
A Sharma,2
A Shcherbakov,1
A Sheilfer,1
A Shevchenko,1
A Shiau,1
A Shleifer,9
A Shliefer,1
A SimÃµes Lopes,1
A Singh,2
A Sinko,1
A Sives,1
A Skyring,1
A Slater,1
A Slettebak,1
A Smith,6
A Sohrab,1
A Soliz,1
A Souifi,3
A Spelta,1
A Spilimbergo,1
A Spoerry,1
A Squire,1
A Stan Hurn,1
A Stefano Caria,2
A Steger,1
A Stein,3
A Steinmayr,1
A Stott,1
A Stutzer,1
A Subramanian,1
A Sumell,1
A Summers Shleifer,1
A Sunderland,2
A Swamy,1
A Swarts,1
A Szirmai,1
A SÃ¡nchez,1
A Taffesse,1
A Takeuchi,1
A Talman,1
A Tan-McGrory,1
A Tanabe,1
A Tarozzi,1
A Tasiron,1
A Taylor,1
A Tektas,1
A Thakor,1
A Thomas,1
A Thomas King,3
A Thorpe,2
A Tiberghien,2
A Timmerman,1
A Timmermann,5
A Timms,3
A Titilayo,1
A Tornell,3
A Trannoy,2
A Trigueros,2
A TrzciÅ„ska,1
A Tshefu,1
A Tsyvinski,1
A Tversky,1
A Tyabji,1
A Uitterlinden,1
A Ukhov,1
A Ullah,1
A VAN DER WOUDE,1
A Vaidyanathan,2
A Valcu,1
A Valdes,1
A ValdÃ©s,2
A Van Geen,1
A Van der Horst,1
A Varoudakis,1
A Vasdev,1
A Vazan,1
A Velasco,1
A Venables,9
A Ventura,1
A VerniÃ¨re,1
A Viceisza,1
A Vignoles,3
A Villareal,1
A Villarreal,1
A Vissing-Jorgensen,1
A Volk,1
A Wagstaff,1
A Warner,4
A Waterman,2
A Wee,1
A Wein,1
A Weiss,1
A Whiteside,1
A Wickelgren,2
A William,1
A Wood,2
A Wuppermann,1
A YOTOPOULOS,1
A Yates,2
A Yavrouian,1
A Yesim Orhun,2
A Yoshimoto,1
A Yu Churyumov,1
A Yusuf Mercan,1
A Yvrande-Billon,1
A YÃºnez-Naude,4
A Zabalza,1
A Zarli,1
A Zech,1
A de Grip,10
A de Janury,1
A de Janvry,1
A de Oliveira,1
A de Paula,1
A de Zeeuw,1
A dâ€™Autume,1
A ten Cate,1
A van Geen,1
A van Soest,2
A van Tilburg,1
A van Witteloostuijn,6
A van Zon,1
A van Zorn,1
A van de Meerendonk,1
A van den Brule,1
A van der Woude,2
A von Siemens,5
A Ã–zlem Ã–nder,1
A Ð¡Ð°Ð·Ðµ,1
A-K Achleitner,1
A-L BarabÃ¡si,1
A-M Marie,1
A-Z El Dessuki,1
A-z Bai,1
A.,1
A. Ockenfels,1
AA Bellack,1
AA Bernheim,1
AA Bostian,1
AA Duraiswamy,1
AA Higazi,1
AA Kromhout,1
AA Linda,1
AA Liu,1
AA McKnight,1
AA Seddique,1
AA Soliman,1
AA Summers,1
AA Swan,1
AA Tiedeman,1
AA Weber,2
AA Willeto,1
AA Zoltners,1
AAM Hart,1
AAS Van Heezik,2
AArpÃ¡d ÃbrahÃ¡m,1
AB Atkinson,8
AB Birtles,1
AB Biswas,1
AB Bugarski,1
AB CANIZARES,1
AB Deolalikar,1
AB Deolikar,1
AB Elizabeth,1
AB Kar,2
AB Krueger,12
AB Leichtman,2
AB Murray,1
AB Schnare,1
AB Sen,1
AB Skanska,1
AB Wyss,1
AB de Alzuet,1
AB-Stiglitz Atkinson,1
ABDOLKARIM SADRIEH,1
